Aktion \ zu,Jolt,Riposte,Verthunder,Corps-a-corps,Veraero,Scatter,Verfire,Verstone,Zwerchhau,Moulinet,Vercure,Displacement,Redoublement,Fleche,Acceleration,Contre Sixte,Embolden,Manafication,Verraise,Jolt II,Verflare,Verholy,Enchanted Riposte,Enchanted Zwerchhau,Enchanted Redoublement,Enchanted Moulinet,Verthunder II,Veraero II,Impact,Engagement,Enchanted Reprise,Reprise,Scorch,Verthunder III,Veraero III,Magick Barrier,Resolution,Enchanted Moulinet Deux,Enchanted Moulinet Trois,Jolt III,Vice of Thorns,Grand Impact,Prefulgence,Sprint,Surecast,Addle,Swiftcast,Lucid Dreaming,Sleep
Jolt,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riposte,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,
Verthunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ur,,,,,,,,,,,,,,,
Corps-a-corps,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veraero,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,Ur,,,,,,,,,,,,,,
Scatter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ur,,,,,,,,,,,,,,,,,,,,
Verfire,,,s,,,,S,r,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,
Verstone,,,,,s,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,
Zwerchhau,,Cc,,,,,,,,,,,,,,,,,,,,,C,K,,,,,,,,,,,,,,,,,,,,,,,,,
Moulinet,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,
Vercure,,g,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,g,,,,g,,,,,,,,,,,,
Displacement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ar,,,,,,,,,,,,,,,,,,,
Redoublement,,,,,,,,,Cc,,,,,,,,,,,,,,,C,K,,,,,,,,,,,,,,,,,,,,,,,,
Fleche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acceleration,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,r,,,,,,,,,,,r,,,,,r,,
Contre Sixte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
